Doc. No.,Title,Description,Registered by,Registered date,Status,subcategory
2022272274,Certification of Employment,Required for bank loan application by Mr. A. Maningcara.,records.unit,17/01/2022 6:19,Terminal Document at HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022274038,Contract for Part-Time Faculty,Draft contract for Dr. T. Aquino teaching 6 units for 1st Semester.,acad.evaluator,22/05/2022 9:29,Sent to DEAN,Administration and Finance: Human Resources (Personnel Records)             
2022276841,Memo re: Submission of Sworn Statement of Assets,Reminder for personnel compliance with annual SALN submission deadline.,legal.office,09/03/2022 13:54,Sent to All Permanent Staff,Administration and Finance: Human Resources (Personnel Records)             
2022285104,Request to Change Civil Status,Submission of marriage certificate to update personnel record of Ms. C. Reyes.,reyes.staff,04/09/2022 17:56,Sent to HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022291111,Special Order – Acting VP Designation,Designation of Dr. L. Diaz as Acting VP while VP is on official travel.,chancellor,03/07/2022 4:55,Sent to VCs,Administration and Finance: Human Resources (Personnel Records)             
2022291715,Personnel Action Form – Salary Step Increment,Form documenting automatic salary step increase based on tenure.,payroll.unit,01/02/2022 7:26,Sent to ACCOUNTING,Administration and Finance: Human Resources (Personnel Records)             
2022292854,Request for Leave Credit Conversion,Faculty member requesting conversion of 15 days vacation leave to cash.,leave.unit,29/03/2022 21:21,Sent to BUDGET,Administration and Finance: Human Resources (Personnel Records)             
2022297172,Service Record Verification,Request from external government agency to verify employee's service history.,external.agency,02/08/2022 13:44,Received by HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022301022,Notice of Termination – CoS Personnel,Notice for non-renewal of Contract of Service due to funding lapse.,hr.admin,30/05/2022 18:12,Sent to Personnel,Administration and Finance: Human Resources (Personnel Records)             
2022301263,Renewal of Appointment – Permanent Staff,Final recommendation to renew appointment of permanent administrative assistant.,dept.head,20/04/2022 11:53,Sent to OC from DEAN,Administration and Finance: Human Resources (Personnel Records)             
2022302348,Personnel File Digitization Phase 3,Progress report on scanning and indexing 201 files for staff hired before 2015.,records.unit,26/02/2022 12:27,Sent to OVCAF,Administration and Finance: Human Resources (Personnel Records)             
2022303082,Request for Clearance (Study Leave),Checklist and form for faculty proceeding on approved study leave.,study.leave,27/09/2022 9:30,Sent to HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022303612,Memorandum of Agreement (MOA) – Faculty Exchange,Documentation detailing one-year faculty exchange program with international partner.,intl.office,25/02/2022 12:31,Sent to LEGAL,Administration and Finance: Human Resources (Personnel Records)             
2022303694,Special Order – Disciplinary Committee,Formation of an internal committee to investigate a reported conduct violation.,legal.office,10/01/2022 20:59,Sent to Faculty Members,Administration and Finance: Human Resources (Personnel Records)             
2022304650,Request for New Employee ID Generation,Form submission for recently hired administrative personnel.,hr.admin,27/01/2022 21:23,Sent to ICT,Administration and Finance: Human Resources (Personnel Records)             
2022305083,Final Retirement Checklist,Submission of final checklist confirming all liabilities cleared for retiring professor.,retirement.unit,02/10/2022 17:53,Terminal Document at OC,Administration and Finance: Human Resources (Personnel Records)             
2022305892,Certification of No Pending Case,Required for external scholarship application by Ms. R. Santos.,legal.office,24/01/2022 16:57,Sent to HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022306372,Personnel Action Form – Change of Status,Form documenting change from Contractual to Permanent status.,hr.admin,24/09/2022 12:03,Sent to Payroll,Administration and Finance: Human Resources (Personnel Records)             
2022308944,Notification of Faculty Study Leave Approval,Official letter to Dean notifying approval of Prof. J. Cruz's 2-year study leave.,ovcaa.office,15/11/2022 21:08,Sent to DEAN,Administration and Finance: Human Resources (Personnel Records)             
2022309039,Request for SO for Leadership Training,Request for SO for selected employees for the Leadership Training Program,norol-huda.boransing,28/01/2022 7:53,Sent to OC from OC,Administration and Finance: Human Resources (Training & Development)
2022309095,Invitation letter from Occupational Safety Network,Requester: Dr. Maria Lopez,acmida.dagalangit,08/07/2022 22:10,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022311198,Certification of Participation c/o Dr. John Santos,Certification of Participation for the 5-day training (shared via email),acmida.dagalangit,06/11/2022 12:11,Sent to CSM-DEAN from OC,Administration and Finance: Human Resources (Training & Development)
2022311402,Letter of request to attend seminar,Requester: Jane Marie Tabucan,acmida.dagalangit,01/03/2022 17:39,Received by CED-DEAN,Administration and Finance: Human Resources (Training & Development)
2022312435,Employees to join PROCTAD Workshop,Requester: CSC Representative,acmida.dagalangit,28/08/2022 5:54,Received by OVCAF,Administration and Finance: Human Resources (Training & Development)
2022316426,Conduct 5-day Basic Occupational Safety and Health Training,From Department of Labor and Employment,acmida.dagalangit,17/08/2022 23:28,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022316692,Request for SO to attend PAGBA Seminar,Requester: John Dela Cruz,dummy.surname,20/01/2022 2:24,Sent to OC from OVCPD,Administration and Finance: Human Resources (Training & Development)
2022322678,DENR Webinars on Solid Waste Management,Requester: Engr. Alex Flores,acmida.dagalangit,01/04/2022 23:25,Received by OVCRE-MCR,Administration and Finance: Human Resources (Training & Development)
2022326018,Request to attend Sports Psychology Summit,Requester: Maria Santos,acmida.dagalangit,18/02/2022 4:59,Terminal Document at OC,Administration and Finance: Human Resources (Training & Development)
2022326619,Training Request for Government Procurement Reform Act (R.A. 9184),Request from Ms. Jane Santos,acmida.dagalangit,14/10/2022 17:10,Sent to OC from OC,Administration and Finance: Human Resources (Training & Development)
2022328569,Request to attend Leadership Seminar,Request letter from Mark Reyes,glainarose.arquillos,12/08/2022 0:06,Received by OC,Administration and Finance: Human Resources (Training & Development)
2022329221,Online Training on Time Management,Requester: Cecilia Quijano,acmida.dagalangit,04/01/2022 7:02,Sent to OC from OVCPD,Administration and Finance: Human Resources (Training & Development)
2022329615,Workshop on Effective Communication,Requester: Dr. Geraldine Majumot,glainarose.arquillos,05/09/2022 0:47,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022333635,Request for SO for Attendance to HR Development Program,Requester: John Dela Cruz,norol-huda.boransing,10/10/2022 23:37,Sent to OC from OC,Administration and Finance: Human Resources (Training & Development)
2022333900,Invitation Letter for Occupational Safety Training,Requester: Dr. Alex Flores,acmida.dagalangit,04/03/2022 6:01,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022335579,Training on Workplace Ethics,Requester: Jane Marie Tabucan,dummy.surname,13/01/2022 15:00,Sent to OC from OVCPD,Administration and Finance: Human Resources (Training & Development)
2022339224,Certification of Completion for HR Workshop,Certification for 3-day seminar on Employee Relations,glainarose.arquillos,18/08/2022 21:15,Received by CSM-DEAN,Administration and Finance: Human Resources (Training & Development)
2022339721,Conduct Safety Orientation Training,From Dept. of Labor and Employment,acmida.dagalangit,10/04/2022 1:11,Sent to MCR from OC,Administration and Finance: Human Resources (Training & Development)
2022342577,Request for SO to participate in Employee Wellness Seminar,Requester: Mark Reyes,acmida.dagalangit,24/08/2022 3:05,Sent to OC from OVCPD,Administration and Finance: Human Resources (Training & Development)
2022342738,Employees to join Online Skills Enhancement Webinar,Requester: Jane Santos,acmida.dagalangit,22/05/2022 19:02,Received by OVCAF,Administration and Finance: Human Resources (Training & Development)
2022342988,Workshop on Team Building and Collaboration,Requester: Geraldine Majumot,acmida.dagalangit,02/01/2022 1:07,Sent to OC from OC,Administration and Finance: Human Resources (Training & Development)
2022343256,Request for SO for Leadership Enhancement Program,Requester: John Dela Cruz,dummy.surname,08/07/2022 21:32,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022344128,Invitation to join HR Skills Development Seminar,Requester: Dr. Maria Lopez,glainarose.arquillos,18/04/2022 4:49,Sent to OVCAF from OC,Administration and Finance: Human Resources (Training & Development)
2022345180,Training on Procurement and Supply Management,Requester: Cecilia Quijano,acmida.dagalangit,08/11/2022 6:22,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022346593,Request letter to attend HR Leadership Conference,Requester: Alex Flores,norol-huda.boransing,16/10/2022 3:29,Sent to OC from OVCPD,Administration and Finance: Human Resources (Training & Development)
2022349507,Workshop on Conflict Resolution,Requester: Jane Marie Tabucan,glainarose.arquillos,18/02/2022 2:26,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022352711,Certification of Attendance for Online Training,Certification for 2-day workshop on Employee Performance,acmida.dagalangit,23/12/2022 2:40,Sent to CSM-DEAN from OC,Administration and Finance: Human Resources (Training & Development)
2022352919,Request for SO for Mandatory HR Training,Requester: John Dela Cruz,dummy.surname,03/06/2022 17:13,Received by OVCAF,Administration and Finance: Human Resources (Training & Development)
2022353688,Invitation to HR Skills Webinar,Requester: Mark Reyes,glainarose.arquillos,09/03/2022 7:37,Sent to MCR from OC,Administration and Finance: Human Resources (Training & Development)
2022354079,Training on Employee Engagement and Motivation,Requester: Jane Santos,acmida.dagalangit,05/04/2022 19:19,Received by MCR,Administration and Finance: Human Resources (Training & Development)
2022354440,Letter from Barangay Chairman.,Requester: Julius Mantawil.,acmida.dagalangit,26/01/2022 13:45,Received by OC,Administration and Finance: Public Relations & Correspondence
2022355080,Solicitation letter for Year-End Program.,Requester: Daniella S. Toledo.,acmida.dagalangit,25/07/2022 15:39,Sent to OVCPA from OC,Administration and Finance: Public Relations & Correspondence
2022355420,Request letter from LGU Iligan.,Re: Coordination for Clean-Up Drive.,acmida.dagalangit,20/10/2022 17:06,Received by OC,Administration and Finance: Public Relations & Correspondence
2022355745,Letter from MSU-IIT Alumni Association.,Re: Alumni Homecoming Preparation.,acmida.dagalangit,28/10/2022 1:02,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022357974,Invitation letter from DepEd.,Re: Regional Educators Congress.,acmida.dagalangit,13/11/2022 22:19,Received by OC,Administration and Finance: Public Relations & Correspondence
2022360453,Request letter from Red Cross Iligan.,Blood donation initiative partnership.,acmida.dagalangit,04/05/2022 1:48,Sent to OVCPD from OC,Administration and Finance: Public Relations & Correspondence
2022360580,Letter from DENR Region 10.,Re: Tree planting activity invitation.,acmida.dagalangit,10/10/2022 2:07,Received by OC,Administration and Finance: Public Relations & Correspondence
2022361813,Solicitation request for Community Outreach.,Requester: Patrick E. Pable.,acmida.dagalangit,02/12/2022 13:09,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022366280,Letter from Barangay Tibanga Council.,Re: Request for resource speaker.,acmida.dagalangit,05/04/2022 14:59,Received by OC,Administration and Finance: Public Relations & Correspondence
2022366728,Invitation letter from DTI Region 10.,Workshop on digital entrepreneurship.,acmida.dagalangit,08/08/2022 0:08,Sent to OVCPA from OC,Administration and Finance: Public Relations & Correspondence
2022367796,Letter from MSU Marawi Office.,Partnership for extension program.,acmida.dagalangit,31/10/2022 20:26,Received by OC,Administration and Finance: Public Relations & Correspondence
2022368937,Solicitation letter from Silahis Foundation.,Requester: Monica A. Guzman,acmida.dagalangit,15/03/2022 18:20,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022369557,Request letter from NCIP.,Collaboration for cultural awareness.,acmida.dagalangit,20/07/2022 0:39,Received by OVCAA,Administration and Finance: Public Relations & Correspondence
2022370277,Invitation letter from DOLE.,Re: Stakeholders Forum 2024.,acmida.dagalangit,28/06/2022 17:06,Received by OC,Administration and Finance: Public Relations & Correspondence
2022372147,Correspondence from City Mayor’s Office.,Re: Attendance confirmation.,acmida.dagalangit,08/06/2022 16:21,Terminal Document at OC,Administration and Finance: Public Relations & Correspondence
2022373097,Letter from Bureau of Fire Protection.,Fire safety seminar invitation.,acmida.dagalangit,15/11/2022 4:02,Sent to OVCPA from OC,Administration and Finance: Public Relations & Correspondence
2022374236,Solicitation letter from Youth Leaders Club.,Requester: Adrian Villacorte.,acmida.dagalangit,04/09/2022 19:10,Received by OC,Administration and Finance: Public Relations & Correspondence
2022378604,Letter from Iligan Medical Society.,Re: Medical mission collaboration.,acmida.dagalangit,17/03/2022 18:58,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022380167,Invitation letter from City Health Office.,Re: Wellness Caravan.,acmida.dagalangit,15/12/2022 5:02,Received by OC,Administration and Finance: Public Relations & Correspondence
2022380410,Request letter from MSU-IIT Faculty Union.,Re: Endorsement for activity.,acmida.dagalangit,17/04/2022 17:20,Sent to OVCPD from OC,Administration and Finance: Public Relations & Correspondence
2022381713,Letter from Barangay Mahayahay Council.,Requester: Rodolfo Jalapong.,acmida.dagalangit,29/08/2022 9:15,Received by OC,Administration and Finance: Public Relations & Correspondence
2022382098,Correspondence from CHED.,Re: Consultation meeting.,acmida.dagalangit,14/10/2022 16:38,Terminal Document at OVCAA,Administration and Finance: Public Relations & Correspondence
2022383751,Solicitation letter for Barangay Fiesta.,Requester: Charlene G. Yu.,acmida.dagalangit,11/03/2022 8:09,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022384033,Invitation letter from Rotary Club Iligan.,Re: Community Service Program.,acmida.dagalangit,31/01/2022 12:57,Received by OC,Administration and Finance: Public Relations & Correspondence
2022385985,Letter from Lanao Professionals Organization.,Collaboration proposal.,acmida.dagalangit,14/04/2022 4:03,Sent to OVCPA from OC,Administration and Finance: Public Relations & Correspondence
2022386066,Request letter from City Agriculture Office.,Re: Urban farming project.,acmida.dagalangit,01/07/2022 6:03,Received by OC,Administration and Finance: Public Relations & Correspondence
2022386537,Letter from MSU-IIT Retirees Association.,Re: Annual Council Meeting.,acmida.dagalangit,07/02/2022 11:59,Sent to OC from OC,Administration and Finance: Public Relations & Correspondence
2022391012,Solicitation letter for Student Outreach.,Requester: Irish T. Morales.,acmida.dagalangit,23/04/2022 6:14,Received by OC,Administration and Finance: Public Relations & Correspondence
2022391719,Letter from Civil Service Commission.,Re: Invitation to Awarding Ceremony.,acmida.dagalangit,06/01/2022 5:39,Sent to OVCPD from OC,Administration and Finance: Public Relations & Correspondence
2022393913,Invitation letter from Department of Tourism.,Re: Regional Tourism Summit.,acmida.dagalangit,10/09/2022 13:46,Received by OC,Administration and Finance: Public Relations & Correspondence
2022397114,Annual GAD Plan and Budget Submission FY2027,Finalized document detailing GAD activities and funding allocation for the next year.,gad.center,03/09/2022 5:55,Sent to BUDGET,Administration and Finance: Regulatory & Social Compliance
2022399114,Notice of Summons (Case No. 2026-04-A),Official summons from the Ombudsman regarding administrative case filed by external party.,legal.office,30/04/2022 7:33,Sent to OC,Administration and Finance: Regulatory & Social Compliance
2022399259,Legal Opinion Request: Tenure Extension,Request for legal advice on extending tenure for faculty nearing retirement.,ovcaa.office,18/03/2022 13:54,Received by LEGAL,Administration and Finance: Regulatory & Social Compliance
2022399306,Resolution No. 2026-03 (Anti-Sexual Harassment),Final review of the revised anti-sexual harassment policy for BOR adoption.,legal.office,22/06/2022 8:20,Sent to BOR,Administration and Finance: Regulatory & Social Compliance
2022399732,Request to Attend CSC Webinar,Request for official travel order for three HR staff to attend a virtual webinar on service policies.,hr.admin,12/12/2022 19:40,Sent to HRMO,Administration and Finance: Regulatory & Social Compliance
2022399811,GAD Training Attendance Report,Submission of attendance sheets and evaluation forms for GAD sensitivity seminar.,gad.center,03/02/2022 18:51,Sent to HRMO,Administration and Finance: Regulatory & Social Compliance
2022400562,MOA Review: Research Partnership (DENR),Legal assessment of agreement with DENR regarding environmental research collaboration.,ovcre.staff,07/12/2022 10:40,Sent to LEGAL,Administration and Finance: Regulatory & Social Compliance
2022402074,Memo re: Mandatory Submission of SALN,Reminder to all permanent personnel regarding compliance with annual SALN submission.,legal.office,30/09/2022 15:46,Sent to All Staff,Administration and Finance: Regulatory & Social Compliance
2022405750,GAD Event Logistics Plan,Program and logistics plan for Women's Month celebration kick-off event.,events.admin,06/07/2022 6:56,Sent to PPD,Administration and Finance: Regulatory & Social Compliance
2022406884,Final Compliance Checklist: COPC BS Chem,Checklist ensuring all legal and policy requirements met for program compliance certificate.,oquams.staff,11/12/2022 4:58,Sent to CHED,Administration and Finance: Regulatory & Social Compliance
2022409058,Letter from CSC re: Implementation of Resolution,Follow-up inquiry regarding university's compliance timeline for a disciplinary ruling.,legal.office,16/03/2022 0:07,Sent to OC,Administration and Finance: Regulatory & Social Compliance
2022413188,Request for Certification of No Pending Case,Faculty member requires certification for external promotion application.,legal.staff,08/01/2022 2:33,Terminal Document at Legal,Administration and Finance: Regulatory & Social Compliance
2022416303,DV# 126290 - GAD Resource Speaker Fee,Payment for professional fee for external speaker on Gender Equity in STEM.,gad.center,27/01/2022 14:55,Received by CASHIER,Administration and Finance: Regulatory & Social Compliance
2022416717,Policy Draft: Academic Integrity (Plagiarism),Revised policy submitted for legal review to align with new copyright law.,ovcaa.policy,31/01/2022 13:35,Sent to LEGAL,Administration and Finance: Regulatory & Social Compliance
2022419853,Internal Memo re: BOR Meeting Agenda,Legal team's final review and clearance of the upcoming Board of Regents meeting agenda.,legal.office,23/11/2022 9:52,Sent to BOR,Administration and Finance: Regulatory & Social Compliance
2022419974,GAD Program Evaluation Report Q4,Report assessing effectiveness and outreach of GAD programs conducted in the last quarter.,gad.center,16/09/2022 2:19,Sent to OC,Administration and Finance: Regulatory & Social Compliance
2022422662,Letter from City Mayor's Office (GAD),Invitation to participate in city-wide anti-VAWC campaign events.,external.gad,20/03/2022 14:56,Sent to GAD Center,Administration and Finance: Regulatory & Social Compliance
2022423922,Request for GAD Funds Release,"Budget request for PhP 50,000 to cover printing and logistics for outreach.",gad.center,23/01/2022 19:29,Sent to BUDGET,Administration and Finance: Regulatory & Social Compliance
2022432694,Legal Advice Request: Student Privacy,Inquiry regarding handling of student disciplinary records under Data Privacy Act.,ovcsa.office,17/05/2022 14:24,Sent to LEGAL,Administration and Finance: Regulatory & Social Compliance
2022433557,Notice to Proceed: GAD Center Renovation,Legal clearance and approval for renovation work on the GAD Center office space.,ppd.eng,07/10/2022 10:42,Sent to Contractor,Administration and Finance: Regulatory & Social Compliance
2022434086,Final Draft: Faculty Manual (Chapter 3),Legal clearance on revised chapter covering faculty rights and responsibilities.,ovcaa.staff,19/08/2022 1:48,Sent to BOR,Administration and Finance: Regulatory & Social Compliance
2022436160,DV# 126295 - Legal Documentation Fees,Payment for fees related to notarization and filing of new institutional contracts.,finance.admin,01/01/2022 8:28,Received by CASHIER,Administration and Finance: Regulatory & Social Compliance
2022439219,Compliance Checklist: Environmental Laws,Internal checklist ensuring campus operations adhere to national environmental regulations.,ovcpd.staff,07/08/2022 7:19,Sent to OC,Administration and Finance: Regulatory & Social Compliance
2022441101,Request for Vehicle (GAD Outreach),Request for coaster use for GAD team's community outreach program in a distant barangay.,gad.center,23/02/2022 11:42,Sent to MOTORPOOL,Administration and Finance: Regulatory & Social Compliance
2022441697,Memo re: Whistleblower Protection Policy,Internal memo launching new policy and detailing complaint submission procedures.,legal.office,09/11/2022 19:54,Sent to HRMO,Administration and Finance: Regulatory & Social Compliance
2022442274,Resolution: GAD Budget Reallocation,GAD Council resolution approving reallocation of unspent funds to capacity building seminars.,gad.center,07/12/2022 2:09,Sent to BUDGET,Administration and Finance: Regulatory & Social Compliance
2022445639,Final Submission: CSC Compliance Report,"Annual report detailing adherence to civil service laws, required by CSC.",legal.office,13/11/2022 2:13,Sent to CSC,Administration and Finance: Regulatory & Social Compliance
2022446792,DV# 126300 - Legal Retainer Payment,Payment for quarterly professional fee to the external legal counsel retainer.,finance.admin,23/05/2022 20:48,Sent to ACCOUNTING,Administration and Finance: Regulatory & Social Compliance
2022447766,Minutes of GAD Council Meeting,Official minutes documenting discussion on equity in faculty promotion criteria.,gad.center,26/02/2022 20:47,Sent to VCs,Administration and Finance: Regulatory & Social Compliance
2022449623,Certification of No Pending Litigation,Required for university official seeking appointment to a higher government post.,legal.staff,24/04/2022 7:29,Terminal Document at Legal,Administration and Finance: Regulatory & Social Compliance
2022450424,Campus Master Plan Review Phase I,Memo requesting feedback on proposed 10-year land use and zoning plan.,ovcpd.staff,11/11/2022 10:55,Sent to VCs,Planning and Development: Capital Planning & Strategy
2022452971,Feasibility Study: New Teaching Hospital,Budget and initial architectural study for proposed campus hospital.,ovcpd.planning,26/10/2022 13:45,Sent to BOR,Planning and Development: Capital Planning & Strategy
2022453741,Annual Performance Scorecard Q4 2025,Submission of year-end institutional KPI results to the Chancellor.,ovcpd.strategy,15/06/2022 0:14,Sent to OC,Planning and Development: Capital Planning & Strategy
2022454883,Request for Building Maintenance (Roof Leak),Work order for urgent repair of major leak in College of Engineering building.,coe.dean,22/10/2022 19:52,Sent to PPD,Planning and Development: Capital Planning & Strategy
2022455775,Memo re: Strategic Goal Alignment (HR Unit),Memo requiring all HR objectives to be re-aligned with 2028 institutional goals.,ovcpd.staff,16/10/2022 14:08,Sent to HRMO,Planning and Development: Capital Planning & Strategy
2022456095,Capital Outlay Request FY2027,Budget submission for all major construction and repair projects over Php 5M.,engineering,26/09/2022 11:46,Sent to BUDGET,Planning and Development: Capital Planning & Strategy
2022457438,Request for Vehicle (Inspection Trip),Request for coaster use for PPD inspection of ongoing construction sites.,ppd.admin,06/12/2022 9:49,Sent to MOTORPOOL,Planning and Development: Capital Planning & Strategy
2022462403,KPI Report Submission Form,Template for all VCs to submit unit-level performance indicators for Q1 2026.,ovcpd.strategy,23/11/2022 16:57,Sent to VCs,Planning and Development: Capital Planning & Strategy
2022463225,Final Report: Library Annex Turnover,Documentation confirming acceptance and final physical inspection of Library Annex.,ppd.eng,11/02/2022 13:31,Received by PROPERTY,Planning and Development: Capital Planning & Strategy
2022466222,Proposal for Green Energy Initiative,"Study detailing feasibility, budget, and impact of campus-wide solar installation.",ovcpd.planning,23/05/2022 10:31,Sent to OC,Planning and Development: Capital Planning & Strategy
2022466605,Land Use Policy Revision Draft,Legal review of policy restricting commercial use of certain campus areas.,ovcpd.staff,20/09/2022 23:31,Sent to LEGAL,Planning and Development: Capital Planning & Strategy
2022467723,Scorecard Targets Workshop Output,"Compiled strategic KPIs, owners, and timelines drafted during planning retreat.",ovcpd.strategy,27/07/2022 8:44,Sent to BOR,Planning and Development: Capital Planning & Strategy
2022467748,Contract Termination Notice: Land Lease,Official notice to external vendor terminating ground lease due to policy change.,legal.office,08/08/2022 1:45,Sent to Vendor,Planning and Development: Capital Planning & Strategy
2022468763,Contract for Architectural Services,Finalized contract for design of new Student Services Center.,ppd.procurement,23/05/2022 22:03,Received by ACCOUNTING,Planning and Development: Capital Planning & Strategy
2022468925,Request to Use University Grounds (External),External client request to rent football field for a weekend tournament.,external.client,02/02/2022 3:00,Sent to PPD from OC,Planning and Development: Capital Planning & Strategy
2022471430,Quarterly Infrastructure Status Report,Engineering department's report on progress of all ongoing construction projects.,engineering,28/05/2022 23:35,Sent to OVCPD,Planning and Development: Capital Planning & Strategy
2022472203,Feasibility Study: University Data Center Expansion,Technical and financial assessment for upgrading main server room infrastructure.,ovcpd.planning,17/05/2022 18:56,Sent to ICT,Planning and Development: Capital Planning & Strategy
2022474992,BOR Resolution Alignment Checklist,Internal checklist ensuring all new policies align with recent Board resolutions.,ovcpd.staff,09/12/2022 22:51,Terminal Document at OVCPD,Planning and Development: Capital Planning & Strategy
2022475189,Performance Review: Janitorial Services,Q3 report evaluating compliance and cleanliness standards for campus maintenance.,ppd.admin,20/05/2022 3:41,Sent to OVCAF,Planning and Development: Capital Planning & Strategy
2022476193,Project Budget Modification Request (Gym Repair),Request to reallocate funds for unexpected costs in the Gymnasium renovation.,engineering,23/10/2022 8:14,Sent to BUDGET,Planning and Development: Capital Planning & Strategy
2022477041,Space Utilization Audit Findings,Report detailing underutilized and overutilized instructional/office spaces.,ovcpd.planning,29/08/2022 2:11,Sent to OVCAA,Planning and Development: Capital Planning & Strategy
2022478133,Memorandum re: Strategic Priority Shift,Chancellor's memo announcing new institutional priority on international ranking.,chancellor,13/11/2022 7:47,Sent to VCs,Planning and Development: Capital Planning & Strategy
2022478402,Request for New Furniture Procurement,PR for office desks and chairs for the newly constructed CASS Annex.,ppd.admin,20/01/2022 12:26,Sent to Purchasing,Planning and Development: Capital Planning & Strategy
2022479338,P&D Dashboard Mockup,Final design and data visualization plan for the executive performance dashboard.,ovcpd.strategy,30/12/2022 11:44,Sent to OC,Planning and Development: Capital Planning & Strategy
2022480572,Grounds Maintenance Log,Daily logbook entry for routine grass cutting and landscaping services.,property.mgr,26/09/2022 14:06,Sent to ACCOUNTING,Planning and Development: Capital Planning & Strategy
2022481957,Notice to Proceed: New Water Tank Installation,Official instruction to contractor to begin construction of new campus water tower.,ppd.eng,10/03/2022 11:00,Sent to Contractor,Planning and Development: Capital Planning & Strategy
2022482045,Disaster Management Plan Integration,Memo detailing how facility maintenance schedules will align with disaster response protocols.,ovcpd.staff,24/03/2022 14:56,Sent to Safety Office,Planning and Development: Capital Planning & Strategy
2022482063,Annual Campus Safety Inspection Report,"Summary of findings from fire, structural, and electrical safety inspections.",safety.eng,15/12/2022 1:08,Sent to PPD,Planning and Development: Capital Planning & Strategy
2022483479,Request to Repaint College Facade,Work order request for aesthetic upgrade to College of Science facade.,csm.dean,03/10/2022 11:29,Sent to PPD,Planning and Development: Capital Planning & Strategy
2022492432,P&D Policy Handbook Final Draft,Final version of the Planning and Development policy manual submitted for review.,ovcpd.planning,10/07/2022 19:22,Sent to LEGAL,Planning and Development: Capital Planning & Strategy
2022493076,Request to conduct data gathering via online survey,Loreine Jin Perido,glainarose.arquillos,03/04/2022 5:45,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022494871,Submission of Informed Consent Form for approval,Maria Feliza Santos,glainarose.arquillos,14/01/2022 19:58,Received by CASS-DEAN,Research and Extension: Research Ethics & Data Privacy
2022495467,Request for data privacy compliance certificate,John Michael Ruiz,glainarose.arquillos,30/01/2022 18:50,Sent to OC,Research and Extension: Research Ethics & Data Privacy
2022499050,Application for Ethics Review of student thesis,Hannah Grace Ramos,glainarose.arquillos,01/01/2022 20:50,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022499093,Request for approval: face-to-face interviews with minors,Elijah Tan,glainarose.arquillos,22/06/2022 19:38,Sent to OVCAF,Research and Extension: Research Ethics & Data Privacy
2022500050,Submission of revised ethics protocol,Janine Dela Peña,glainarose.arquillos,19/09/2022 17:10,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022500397,Request to access institutional datasets,Patrick Mendoza,glainarose.arquillos,06/06/2022 1:48,Received by CED-DEAN,Research and Extension: Research Ethics & Data Privacy
2022501140,Data sharing agreement endorsement,Karen Lopez,glainarose.arquillos,20/08/2022 18:32,Sent to OC from OVCAF,Research and Extension: Research Ethics & Data Privacy
2022502791,Application for expedited ethics review,Denise Capistrano,glainarose.arquillos,24/09/2022 11:29,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022504181,Request to conduct key informant interviews,Marco Villan,glainarose.arquillos,09/03/2022 23:11,Sent to CASS-DEAN,Research and Extension: Research Ethics & Data Privacy
2022504821,Endorsement of Data Privacy Impact Assessment (DPIA),Alyssa Torralba,glainarose.arquillos,05/01/2022 10:07,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022505733,Request for approval of audio-recorded interviews,Rhea Montañez,glainarose.arquillos,16/02/2022 12:30,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022505813,Request to conduct survey among faculty members,Justin Padua,glainarose.arquillos,06/04/2022 9:39,Sent to OC,Research and Extension: Research Ethics & Data Privacy
2022505921,Submission of updated data privacy compliance forms,Kimberly Abarquez,glainarose.arquillos,04/05/2022 13:44,Received by OVCAF,Research and Extension: Research Ethics & Data Privacy
2022506990,Request to extend data collection period,Carl James Ramos,glainarose.arquillos,14/12/2022 20:17,Received by OC,Research and Extension: Research Ethics & Data Privacy
2022507015,Ethics renewal application for ongoing research,Bianca Nuñez,glainarose.arquillos,16/10/2022 2:12,Sent to CED-DEAN,Research and Extension: Research Ethics & Data Privacy
2022507955,Submission of confidentiality agreement forms,Paula De Leon,glainarose.arquillos,22/02/2022 8:57,Received by OC,Research and Extension: Research Ethics & Data Privacy
